SPAM	REPLY WITH SMS 
SPAM	M
SPAM	Y'ello! You do not have any pending request. Thank you.
SPAM	Y'ello! This information is already captured. Dial *559# to view your bonus. Thank you.
SPAM	SAMSON
SPAM	Y'ello! You have successfully updated your STATE OF ORIGIN and you have received N400 MTN2MTN call usable btw 10pm-5pm, expires 25/Jun/2013. Thank you.
SPAM	OSUN
SPAM	Y'ello! Your SIM registration information is incomplete, kindly reply this text with your STATE OF ORIGIN (e.g Lagos, FCT, Kano) and get N400 MTN2MTN call. SMS is Free. Thank you.
SPAM	osun
SPAM	Y'ello! You have successfully updated your MOTHER'S MAIDEN NAME and you have received N400 MTN2MTN call usable btw 10pm-17pm, expires 05/Jun/2013. Thank you.
SPAM	Sorry, you have responded with an invalid entry for MOTHER'S MAIDEN NAME. Kindly send a valid answer to receive your bonus. SMS is Free. Thank you.
SPAM	01 10 1992
SPAM	Y'ello! You have successfully updated your RESIDENTIAL ADDRESS and you have received N400 MTN2MTN call usable btw 10pm-17pm, expires 04/Jun/2013. Thank you.
SPAM	ODEOMU; OSUN STATE
SPAM	Sorry, you have responded with an invalid entry for RESIDENTIAL ADDRESS. Kindly send a valid answer to receive your bonus. SMS is Free. Thank you.
SPAM	Y'ello! You have successfully updated your DATE OF BIRTH and you have received N400 MTN2MTN call usable btw 10pm-17pm, expires 03/Jun/2013. Thank you.
SPAM	Sorry, you have responded with an invalid entry for DATE OF BIRTH. Kindly send a valid answer dd/MM/yyyy to receive your bonus. Thank you.
SPAM	Get the callertune, U go kill me remix by Sarkodie ft wizkid, text 010373 to 4100. N50/SMS to opt out text stop to 33020.
SPAM	EPL Is Here Again. Text Sport to 35241 For Sport News Update. Cost N100/30days
SPAM	Join the winning team now & enjoy unlimited instant airtime when you answer 3 question in the Brain-Wave game. Text WAVE to 5032 to get started now. N10/SMS and stop to unsubcribe
SPAM	Nigeria's 100 years!Celebrate with us &you can win the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777 and participate now!N100/SMS
SPAM	"Today is Bimbola Kenny's birthday. Reply to post on her Timeline or reply 1 to post ""Happy Birthday!""."
SPAM	"Today is Oluwafunke Jawolusi's birthday. Reply to post on her Timeline or reply 1 to post ""Happy Birthday!""."
SPAM	"Egbetola Olanrewaju: who wants a free ipad? http://t.co/Qpe80nnaJi. (Sent to you, Aisosa, Bakare, Williams, Oguntoye, Joke, and 27 others. Reply to msg all, ""mute"" to stop convo. Info: http://fb.me/sms)"
SPAM	If you are in need of more creative, inventive thinking at work or school, here are ways to boost your creativity. Text CREATIVE to 700. N50/week.
HAM	Your Acct 304XXXX489 Has Been Debited with NGN2,000.00 On 03-SEP-2014 17:40:27 By ATM WITHDRAWAL-GTBank EBranch UNAAB/Ogun. Bal: NGN1,138.29CR
HAM	Your Acct 304XXXX489 Has Been Credited with NGN2,000.00 On 03-SEP-2014 13:39:42 By BABALOLA NIYI/7724860. Bal: NGN3,138.29CR
HAM	Your Acct 304XXXX489 Has Been Debited with NGN.01 On 31-AUG-2014 09:24:51 By 3041207489:Int.Pd:01-07-2014 to 31-08-20. Bal: NGN1,138.29CR
HAM	Your Acct 304XXXX489 Has Been Debited with NGN13,000.00 On 27-AUG-2014 10:30:54 By ATM WITHDRAWAL-FBN/Abeokuta Main ATM4/Og. Bal: NGN1,138.30CR
HAM	Your Acct 304XXXX489 Has Been Credited with NGN12,500.00 On 26-AUG-2014 14:39:18 By CHRIATIANAH AJAYI. Bal: NGN14,138.30CR
HAM	Your Acct 304XXXX489 Has Been Debited with NGN40.00 On 24-AUG-2014 06:02:08 By 27-Jul-2014 to 26-AUG-2014 SMS Alert Cha. Bal: NGN1,638.30CR
HAM	Your Acct 304XXXX489 Has Been Debited with NGN1,000.00 On 18-AUG-2014 15:26:43 By ATM WITHDRAWAL-GTBank EBranch UNAAB/Ogun. Bal: NGN1,678.30CR
HAM	Your Acct 304XXXX489 Has Been Debited with NGN2,000.00 On 12-AUG-2014 14:19:05 By ATM WITHDRAWAL-UNAAB MFB/ABEOKUTA/OG/NG. Bal: NGN2,678.30CR
HAM	Your Acct 304XXXX489 Has Been Credited with NGN3,500.00 On 12-AUG-2014 09:37:05 By AJAYI BISOLA. Bal: NGN4,678.30CR
